zip,longi,lat,lat_meter,long_meter,annotation,raw_tweet
32801,-81.380962,28.54934,-1043601.185,1439104.379,32801,#911hangup 100 w amelia st 32801 9 19 11 #orlando #centralbusinessdistrict
32811,-81.44906,28.52774,-1047036.679,1432838.188,32811,#911hangup 1029 clovercrest rd 32811 6 5 13 58 #orlando #timberleaf
32808,-81.432983,28.561266,-1043115.635,1433816.901,32808,#911hangup 1356 golden_gate av 32808 10 30 17 18 #orlando #mercydrive
32814,-81.331187,28.566441,-1040943.665,1443658.497,32814,#911hangup 1674 prospect av 32814 5 17 26 #orlando #baldwinpark
32812,-81.3124799,28.4578903,-1052522.15,1447412.628,32812,#911hangup 1812 curry av 32812 5 25 07 06 #orlando #dixiebelle
32814,-81.33315,28.56814,-1040788.865,1443436.823,32814,#911hangup 2420 lakemont av 32814 6 14 54 #orlando #baldwinpark
32806,-81.37464905,28.52118492,-1046581.898,1440218.718,32806,#911hangup 2600 center av 32806 4 05 24 #orlando #wadeviewpark
32803,-81.34071484,28.55350502,-1042509.625,1442958.327,32803,#911hangup 2801 e coloni dr 32803 3 1 13 11 #orlando #colonialtowncenter
32805,-81.38902,28.54016,-1044732.671,1438480.234,32805,#911hangup 3040 clear wy 32805 5 13 00 47 #orlando #catalina
32804,-81.38768032,28.55300009,-1043306.719,1438383.984,32804,#911hangup 4004 lake underhil rd 32803 5 15 02 43 #orlando #lakeunderhill
32801,-81.369068,28.532724,-1045231.318,1440559.317,32801,#911hangup 420 s orang av 32801 2 12 09 54 #orlando #centralbusinessdistrict
32801,-81.379189,28.537205,-1044900.866,1439492.088,32801,#911hangup 450 s orang av 32801 7 29 17 44 #orlando #centralbusinessdistrict
32811,-81.45884,28.49399015,-1050883.253,1432477.14,32811,#911hangup 4506 lb mcleod rd 32811 6 17 08 22 #orlando #33rdst industrial
32811,-81.461296,28.498335,-1050446.399,1432160.814,32811,#911hangup 4618 middlebrook rd 32811 7 5 01 13 #orlando #floridacenternorth
32839,-81.442137,28.473955,-1052812.985,1434461.506,32839,#911hangup 4744 timarron dr 32839 7 11 05 02 #orlando #millenia
32811,-81.436128,28.508653,-1048921.89,1434437.122,32811,#911hangup 4961 walden cr 32811 2 23 19 31 #orlando #floridacenternorth
32808,-81.45144716,28.60052884,-1039109.505,1431323.772,32808,#911hangup 5332 cinderlan py 32808 3 10 15 27 #orlando #rosemont
32822,-81.306258,28.521364,-1045479.859,1446892.055,32822,#911hangup 5850 t g lee bv 32822 4 9 08 54 #orlando #airportnorth
32807,-81.312363,28.534892,-1044096.805,1446055.704,32807,#911hangup 6271 whisper wy 121 32807 2 27 20 16 #orlando #engelwoodpark
32805,-81.41478729,28.55125046,-1043925.255,1435769.354,32805,#911hangup 711 boston av 32805 6 4 21 32 #orlando #holdenparramore
32829,-81.261459,28.473978,-1049951.35,1452109.961,32829,#911hangup 7777 narcoosse rd 32829 12 15 44 #orlando
32803,-81.34590149,28.54392433,-1043639.804,1442622.058,32803,#911hangup 800 n magnolia av 1100 32803 3 25 13 54 #orlando #centralbusinessdistrict
32829,-81.249489,28.484699,-1048588.024,1453087.682,32829,#911hangup 8708 leevista blvd 32829 6 12 49 #orlando #vistaeast
32827,-81.305093,28.431203,-1055324.252,1448608.748,32827,#911hangup 8839 bear rd 32827 4 7 19 16 #orlando #orlandointernationalairport
32835,-81.49494991,28.51316996,-1049350.864,1428613.333,32835,#911hangup 9456 candic ct 32835 4 3 02 43 #orlando #lavina
